因子,方向
"['new_on_balance_volume', 'eri_high_20', 'turnover_rate_20']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_20', 'k_indicator_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_20', 'k_indicator_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'k_indicator_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'd_indicator_5']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'd_indicator_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'd_indicator_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'j_indicator_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_20', 'j_indicator_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'j_indicator_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'investment_income_coverage']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'interest_income_coverage']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_20', 'profit_margin']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_20', 'peg']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'eps']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'expense_coverage_ratio']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_20', 'roa']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'debt_to_equity_ratio']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'roe']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'pb_ratio']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'pe_ratio']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', '成交额_std_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_20', 'Stochastic_K_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'Volume_Ratio_20']","['true', 'false', 'false']"
